"reviews_review","reviews_user"
"I read this book in French (because I'm french!). But I comment it in English, beacause I'd like you, English readers who would like to discover French state of mind from the late 18th and early 19th century and also the great History he really lived. It's not really fun, but it's Chateaubriand! So it's clever, pretentious (he could be!), historically very interesting and so many things more!","Gabrielle Dubois","",""
"No he leído propiamente las ""Memorias de ultratumba"". He leído una antología o selección de las mismas. ¿Por qué? Porque soy cobarde.","César","",""
"Ho un debole per le biografie e le autobiografie, come per i trattati storici e le digressioni romantiche. Memorie d'oltretomba racchiude tutte le mie predilezioni, non potevo non leggerlo, dopo averlo guardato e scansato per molto tempo, ma infine arriva il tempo per ogni cosa.
Un libro affascinante, ricco di sfaccettature, forse non per tutti ma certo per gli amanti dei resoconti storici e gli affreschi d'epoca. Chi fosse spaventato dal cofanetto di oltre 2000 pagine sbaglierebbe, moltissime sono note, e il resto è una lettura molto godibile, lo stile di Chateaubriand è elegante e ironico, tranne quando indulge in una pompa autocelebrativa che sa un po', ebbene sì, pardon, di trombone.
I suoi dispacci di ambasciatore, i suoi discorsi alla Camera dei Pari, le sue lettere a vari personaggi hanno spesso il tratto della pompa e dell'autocelebrazione, inoltre i frequenti riferimenti al Cristianesimo pongono molti veli sulla sua vita di galante gentiluomo ammogliato (ebbe infinite amanti, relazioni contemporannee durate anni, la povera Madame de Chateaubriand doveva sopportare la presenza di queste Madames come le chiamava, perfino nella residenza della famiglia alla Vallée aux Loups, nelle Memorie di queste donne non si fa alcun cenno).
Del resto ogni autobiografia lavora di taglio e di cesello, non ci si aspetta la Verità, ma la sua rilettura, l'autoritratto che l'autore regala al mondo e le vicende autobiografiche qui sono anche le meno interessanti, per nostra fortuna le pagine di pompa autocelebrativa sono abbastanza limitate come numero, il resto è una delizia di affresco storico della Francia tra due secoli e due mondi. Chateaubriand ebbe la fortuna di vivere in anni ricchi di cambiamenti ed il meglio di sé, a mio avviso, lo dà come memorialista descrivendo gli eventi storici e i suoi personaggi (La Rivoluzione Francese, Vita di Napoleone) e poi l 'infanzia e la giovinezza, i suoi viaggi, il suo esilio a Londra – esilio politico a seguito della Rivlouzione Francese, come sostenitore della monarchia – . Nella descrizione dell'amatissima Bretagna e dei suio boschi di Comburg si scorge chiarissimo il Romaticismo di cui in Francia fu l'iniziatore, lasciando la residenza della Vallée aux Loups, che dovette vendere per dissesti economici, amatissimo luogo dove aveva piantato personalmente ogni albero, ogni pianta, romanticamente, mestamente sospirava quale Adamo esiliato dal suo Paradiso “Tutti i miei giorni sono degli addii”.
Tra le pagine migliori io annovero anche il viaggio in America, il ritorno e il naufragio, le peripezie come soldato realista in lotta contro le forze rivoluzionarie, la caduta in una vita piena di stenti a Londra, (con gran parte della famiglia uccisa o incarcerata durante la Rivoluzione) e a seguire la risalita ai vertici della società dopo il ritorno dell'Impero e della monarchia Borbonica, traversie che ne fanno l'emblema del vero eroe romantico, di cui ha tutto l'ardore del pensiero e dell'azione.
Memorabili le sue invettive contro Napoleone, dopo l'assassinio del duca d'Enghien, Chateaubriand fu un oppositore feroce e palese dell'imperatore, non si fece intimorire dalla possibilità che Napoleone lo facesse “far fuori a sciabolate sulle scale delle Tuileries”, come gli aveva preannunciato, né fece sconti dopo la caduta, la morte e l'esilio dell'amato/odiato corso (più odiato, in verità). Chateaubriand non perde occasione per dire quanto Napoleone fosse poca cosa dal punto di vista umano – egoista, maniaco, arrogante oltre misura, privo di gratitudine e feroce, ambiziosissimo e senza pietà – e politico, ma ne riconosce la grandezza militare, almeno fino alla campagnia di Russia. La cosa che io trovo ammirevole è che glielo dicesse in faccia o in pubblico, senza sconti né mezze misure, già per questo Chateaubriand mi sta simpatico, tra i suoi difetti non si può certo annoverare l'ipocrisia o il calcolo opportunista. Né opportunista e né ipocrita e come mostra il suo atteggiamento quando, a seguito della Rivoluzione del 1830, ci fu un ribaltamento nella successione al trono di Francia, nemmeno voltagabbana: si schierò sempre con la legittimità Borbonica contro il ramo cadetto “usurpatore” degli Orleans, malgardo le lusinghe e i prospettati favori.
Le Memorie dovevano essere pubblicate dopo la morte dell'autore, in realtà già nel 1836 ne cedette i diritti all'editore, con questi soldi Chauteaubraind, di nuovo la fortuna economica gli aveva voltato le spalle, visse dignitosamente per altri 12 anni. E' seppellito davanti al mare a Saint-Malo, nella sua Bretagna. Luogo non sarebbe stato più adatto a lui che del mare e della Bretagna ha fatto i protagonisti di alcune delle più belle pagine delle sue Memorie.","ΑνναΦ","",""
"Un tombeur de femmes notoire, Chateaubriand a choisi de publier ces mémoires à titre posthume afin d’éviter des défis aux duels. Le lecteur y trouve bien des belles descriptions d’amour; seulement sa femme l’a déçu. Néanmoins ce livre est surtout un chronique de malheurs :
« Trois catastrophes ont marqué les trois parties précédentes de ma vie : j’ai vu mourir Louis XVI pendant ma carrière de voyageur et de soldat; au bout de ma carrière littéraire, Bonaparte a disparu; Charles X en tombant, a fermé ma carrière politique. »
La seule déception pour le lecteur est la quatrième et ultime partie où Chateaubriand raconte l’histoire de ses flatteries interminables effectués auprès du roi Charles X en exil à Prague dans de but de l’influer. Ses efforts étaient en vaines parce que Charles X le détestait de longue date comme Madame la duchesse d’Orleans, (femme du Roi Louis-Philippe) lui a bien expliqué : « Madame la duchesse d’Orléans eut la bonté de me rappeler ce qu’elle nommait ma puissance sur l’opinion, les sacrifices que j’avais faits, l’aversion que Charles X et sa famille m’avaient toujours montrée malgré mes services. »
Il faut reconnaitre que Chateaubriand détestait le roi Charles X autant que Charles X. Pourtant, Chateaubriand était un homme de principe. Il préférait essayer de s’immiscer dans les grâces d’un roi légitime en exil que faire une belle carrière sous un roi illégitime en pouvoir.
La première partie du livre qui raconte son enfance et ses débuts dans le service militaire fait penser aux mémoires de Rousseau. Notamment il y a un choc d’une tentative de suicide : « Me voici arrivé à un moment où j’ai besoin de quelque force pour confesser ma faiblesse. L’homme qui attente à ses jours montre moins la vigueur de son âme que la défaillance de sa nature. Je possédais un fusil de chasse dont la détente usée partait souvent au repos. Je chargeai ce fusil de trois balles, … J’armai le fusil, introduisis le bout de canon dans ma bouche, je frappai la crosse contre terre; je réitérai plusieurs fois l’épreuve; le coup ne partit pas; l’apparition d’un garde suspendit ma résolution. Fataliste sans le vouloir et sans le savoir je supposai que mon heure n’était pas arrivée et je remis à un autre jour l’exécution de mon projet. »
Après la première partie, le ton Rousseauesque disparait. Dans les trois dernières parties Chateaubriand défend ses actes en tant que politicien, auteur et amant d’une manière conventionnelle. Cependant, son style est superbe et ses anecdotes sont tout à fait remarquables. Mon favori est le passage où comme ambassadeur Français auprès du Vatican, il décide sans consulter le roi Charles X de poser le véto français à la candidature du Cardinal Albani dans le conclave qui irait choisir Francesco Castiglioni (Pius VIII comme pape.
« Cette lettre d’exclusion, confiée à un cardinal par un ambassadeur qui n’y est pas autorisé formellement est une témérité en diplomatie : il y a de quoi faire frémir tous les hommes d’État, »
Dans un autre passage remarquable, Chateaubriand décrit sa fureur quand Charles X décide de céder son trône à son cousin Louis-Phillipe plutôt que de déclencher une guerre civile.
« Un peuple s’est souvent retrempé et régénéré dans les discordes intestines. Il n’a jamais péri par une guerre civile, il a souvent disparu dans des guerres étrangères. »
Les mémoires ont aussi des passages croustillants où il invective la Fayette le grand champion de la liberté et de la monarchie constitutionnelle.
« Dans le Nouveau Monde, M. de la Fayette a contribué à la formation d’une société nouvelle; dans le monde ancien, à la destruction d’une vieille société : la liberté invoquée à Washington, l’anarchie à Paris. »
Les Mémoires d’Outre-Tombe sont très longues et il y a beaucoup de passages ennuyants. Néanmoins, elles m’ont fourni un divertissement superbe pour la période de confinement Covid-19.","Czarny Pies","",""
"The first half was INCREDIBLE.
Second half was really good too, focuses on Napoleon a lot, almost a mini biography of Napoleon Bonaparte.
Francois Chateaubriand was a cool guy. I like him. We would have been friends. We have a similar haircut.","Bud Smith","",""
"Typical the work of a man with a large 'ego', looking for justification; more than any other this book has strong Romantic traits. Chateaubriand is a liberal in his principles (freedom is central), but clearly conservative in politics (his option for monarchism); perhaps that explains his marginal relevance as a historical person. But this certainly is a remarkable historical document, presenting an enchanting introspection into a turbulent mind. The most interesting pages treat about Napoleon, the passages on his own public actions are less captivating. And oh, I almost forgot: what a succinct, eloquent French he wrote!","Marc","",""
"Wenn man heute an Chateaubriand denkt, so denkt man in erster Linie an ein Stück Rinderfilet. Vor 200 Jahren war das Anders. Chateaubriand zählte neben Byron, Scott und Goethe zu den meistgelesenen Autoren des ausgehenden 18. und frühen 19. Jahrhunderts, bevor er die Literatur aufgab und zum Diplomaten wurde. Aus dieser Warte kann er eine Vielzahl von interessanten Einblicken in das Exilleben nach der Revolution und die Regierung der Restauration geben. Das meiste an Hofintrige ist aber aus heutiger Sicht nicht mehr wirklich interessant, da sich Chateaubriand vor allen Dingen für dynastische Fragen interessiert und spätestens ab Louis-Phillippe völlig im Abseits steht.
Diese Autobiographie zeichnet sich durch einen vorzüglichen Stil aus, Ihr Inhalt kann heute kaum noch jemanden hinter dem Ofen hervorlocken. Die Übersetzung ist vorzüglich. Die Ausgabe ist es leider nicht. Mich haben die beiden misanthropischen Nachworte - die Herausgeberinnen können wenig mit dem Autor anfangen und sind vor allen Dingen bemüht, Chateaubriand Tatsachenfälschungen nachzuweisen - gestört und ich vermisse ca. 100 Seiten an Fußnoten, da man wirklich viel Nachschlagen muß und die Fußnoten sich oft auf Zitatnachweise beschränken und man alle historischen Hintergründe anderenorts nachschlagen muß.","Noah","",""
"Antes de abandonar Saint-Denis fui recibido por el rey y tuve con él la siguiente conversación.
—¡Bien! —me dijo Luis XVIII, iniciando el diálogo con esta exclamación.
—Bien, Sire, ¿aceptáis al duque de Otranto?
—No ha habido más remedio: desde mi hermano hasta el bailío de Crussol [y éste no era sospechoso], todos decían que no podíamos hacer otra cosa: ¿qué piensa usted?
—Sire, la cosa está hecha: pido permiso a Vuestra Majestad para no pronunciarme.
—No, no, diga: ya sabe lo mucho que me he resistido desde Gante.
—Sire, yo no hago sino obedecer vuestras órdenes; disculpad mi franqueza: creo que la monarquía está acabada.
El rey guardó silencio; yo comenzaba a temblar por mi osadía, cuando Su Majestad prosiguió:
—Pues bien, monsieur de Chateaubriand, soy de su misma opinión.
Memorias de ultratumba; François-René de Chateaubriand
Traducción de José Ramón Monreal para Acantilado.
La verdad es que hay mucho, mucho Chauteaubriand en sus memorias... demasiado a veces. Lo que más he disfrutado es la contraposición de lo que cuenta sobre Napoleón, sin duda los mejores pasajes de las Memorias, con lo que cuenta Tolstoi en Guerra y paz.
Cada vez estoy más alejado de la realidad, más decimonónico en mis gustos, más viejo.","Javier Avilés","",""
"""I want to be Chateaubriand, or nothing""
- Victor Hugo
http://www.bbc.com/news/world-europe-...
To hunt down...","Bettie","",""
"https://www.goodreads.com/review/show...","Markus","",""
